brand_id,brand_name,canonical_candidate,official_domain,vertical_l1,vertical_l2,domain_entity_type,strong_evidence,clean_score,source_name_invalid,kb_matched,canonical_confirmed,site_consensus_count,reasons
brand_nationalpost-com_2980082f,Nationalpost,Nationalpost,nationalpost.com,developer_tools,dev_platform,publisher,false,0.722,false,false,false,0,publisher_not_allowed|low_cleaning_score
brand_startribune-com_863511fd,Startribune,Startribune,startribune.com,food_beverage,snacks,publisher,false,0.722,false,false,false,0,publisher_not_allowed|low_cleaning_score
brand_chinanews-com_b7173758,Chinanews,Chinanews,chinanews.com,art_culture,craft,publisher,false,0.722,false,false,false,0,publisher_not_allowed|low_cleaning_score
brand_whiterabbitpress-com_9fa9d95e,Whiterabbitpress,Whiterabbitpress,whiterabbitpress.com,health_wellness,healthcare,publisher,false,0.722,false,false,false,0,publisher_not_allowed|low_cleaning_score
brand_denverpost-com_755b6188,Denverpost,Denverpost,denverpost.com,saas,productivity,publisher,false,0.722,false,false,false,0,publisher_not_allowed|low_cleaning_score
brand_suntimes-com_c80cd390,Suntimes,Suntimes,suntimes.com,health_wellness,healthcare,publisher,false,0.722,false,false,false,0,publisher_not_allowed|low_cleaning_score
brand_pressreader-com_b7ab6b14,Pressreader,Pressreader,pressreader.com,saas,productivity,publisher,false,0.722,false,false,false,0,publisher_not_allowed|low_cleaning_score
brand_bizjournals-com_7ee3e446,Bizjournals,Bizjournals,bizjournals.com,consumer_electronics,smartphone,publisher,false,0.722,false,false,false,0,publisher_not_allowed|low_cleaning_score
brand_news-medical-net_6b4a3f22,News Medical,News Medical,news-medical.net,saas,productivity,publisher,false,0.722,false,false,false,0,publisher_not_allowed|low_cleaning_score
brand_economictimes-com_8701c77c,Economictimes,Economictimes,economictimes.com,education,online_learning,publisher,false,0.722,false,false,false,0,publisher_not_allowed|low_cleaning_score
brand_edu-cn_8fd9e7e6,Edu,Edu,edu.cn,gaming_entertainment,gaming,institution,false,0.822,false,false,false,0,domain_type_blocked:institution|generic_brand_name
