vertical_l1,vertical_l2,total_records,ad_eligible_brands,suspect_brands,non_brand_entities,domain_type_commercial,domain_type_publisher,domain_type_institution,domain_type_infra_hosting,domain_type_shortlink,domain_type_generic_bucket,sample_ad_eligible,sample_non_brand,ad_eligible_ratio,non_brand_ratio
gaming_entertainment,gaming,150,137,0,13,135,6,7,1,1,0,"Microsoft Edge 游戏助手常见问题解答 | Wanderlix | 3dmgame | Admiddleeast | Uaktravel | 游戏和应用程序 | Splashtravels | Kampung Pelegong Homestay, Labuan | Pelegong Farmstay | Adobe",A village hidden in the desert cliffs -> Msn | 4 Hidden Desert and Oasis Villages Around the World -> Tripmerge | A hidden village carved into a cliff -> Bbc | Cliffside Village Hidden in the Desert -> Artstation | Cloudfront -> Cloudfront | Uci -> Uci | Ed -> Ed | Sba -> Sba | Ow -> Ow | Nhtsa -> Nhtsa,0.9133,0.0867
health_wellness,healthcare,150,130,0,20,116,14,17,1,1,1,首页 | Creativecommons | Dropcatch | Linktr | Amzn | Stackoverflow | Substack | Booking | Apnews | Huffpost,Blogspot -> Blogspot | Princeton -> Princeton | Usda -> Usda | M -> M | Senate -> Senate | Umd -> Umd | Ny -> Ny | Northwestern -> Northwestern | Fbi -> Fbi | Wustl -> Wustl,0.8667,0.1333
home_appliance,kitchen_appliance,150,132,0,18,127,5,16,2,0,0,Wordreference | Mailinabox | Sciencedirect | Discord | Twitch | Usatoday | Britannica | Hbr | Mailchi | Ubuntu,Mit -> Mit | Uchicago -> Uchicago | Si -> Si | Duke -> Duke | Texas -> Texas | Nyc -> Nyc | Indiana -> Indiana | Uiowa -> Uiowa | Dartmouth -> Dartmouth | Buffalo -> Buffalo,0.88,0.12
home_improvement,home_decor,150,130,0,20,121,9,18,1,0,1,Apache | Forbes | Googleblog | Washingtonpost | Etsy | Firefox | Google | Pixabay | Aliyun | Youronlinechoices,Yale -> Yale | Wisc -> Wisc | Ucsd -> Ucsd | Web -> Web | Illinois -> Illinois | Fcc -> Fcc | Virginia -> Virginia | Unl -> Unl | Ssa -> Ssa | Blogspot -> Blogspot,0.8667,0.1333
local_services,food_delivery,150,134,0,16,127,7,14,0,1,1,Mozilla | Debian | Calendly | Oup | Sina | Redhat | Goodreads | Readthedocs | Kickstarter | It,Tinyurl -> Tinyurl | Tamu -> Tamu | News -> News | Cia -> Cia | Dataprivacyframework -> Dataprivacyframework | Clinicaltrials -> Clinicaltrials | Defense -> Defense | In -> In | Pa -> Pa | Mo -> Mo,0.8933,0.1067
mobility,automotive,150,131,0,19,124,7,16,1,2,0,Cargurus | Spglobal | Archive | Shopify | Openai | Aol | Gouv | Myspace | Steampowered | Fandom,Wa -> Wa | G -> G | Uiuc -> Uiuc | Purdue -> Purdue | Unc -> Unc | Medlineplus -> Medlineplus | Uspto -> Uspto | Umass -> Umass | Vanderbilt -> Vanderbilt | Nato -> Nato,0.8733,0.1267
pet,pet_supplies,150,141,0,9,138,3,9,0,0,0,Europa | Soundcloud | Plesk | Mysql | Hp | Ted | Squarespace | Latimes | Freepik | Huffingtonpost,Itu -> Itu | Coe -> Coe | Va -> Va | Wipo -> Wipo | Nsf -> Nsf | Colostate -> Colostate | Ucr -> Ucr | Lbl -> Lbl | Drexel -> Drexel,0.94,0.06
saas,productivity,150,139,0,11,126,13,10,0,0,1,Productivity Primer | Weforum | Nginx | Godaddy | Opera | Wikimedia | Telegram | Npr | Bsky | Wix,House -> House | Rochester -> Rochester | Udel -> Udel | Rice -> Rice | Govinfo -> Govinfo | Syr -> Syr | Medicare -> Medicare | Ojp -> Ojp | Ic3 -> Ic3 | Web -> Web,0.9267,0.0733
sports_outdoor,fitness,150,133,0,17,121,12,13,3,1,0,Fitness | Forumsport | Vimeo | Macromedia | Wiley | Gov | Trustpilot | Mdpi | Samsung | Livejournal,Wixsite -> Wixsite | Googleusercontent -> Googleusercontent | Whitehouse -> Whitehouse | Treasury -> Treasury | Navy -> Navy | Caltech -> Caltech | Copyright -> Copyright | Uw -> Uw | Colorado -> Colorado | Oregon -> Oregon,0.8867,0.1133
travel_hospitality,hotel_booking,150,138,0,12,133,5,9,2,1,0,Aktuell in Angebote | Gov | W3 | Youtube Nocookie | Imdb | Expireddomains | Sharepoint | Blogger | Cbsnews | Indeed,Wordpress -> Wordpress | Epa -> Epa | Nps -> Nps | Lnkd -> Lnkd | Hhs -> Hhs | Army -> Army | Weather -> Weather | Uoregon -> Uoregon | Blogspot -> Blogspot | Wvu -> Wvu,0.92,0.08
