vertical_l1,vertical_l2,ad_eligible_brands,target_brands,brands_to_fill,non_brand_entities,ad_eligible_ratio
consumer_electronics,pet_supplies,36,114,78,0,1
consumer_electronics,laptop,56,114,58,0,1
beauty_personal_care,cosmetics,59,114,55,0,1
fashion,apparel,67,114,47,0,1
fashion,footwear,67,114,47,0,1
beauty_personal_care,skincare,69,114,45,0,1
consumer_electronics,smartphone,70,114,44,0,1
art_culture,craft,141,114,0,0,1
b2b_services,business_service,136,114,0,0,1
baby_parenting,baby_products,135,114,0,0,1
developer_tools,dev_platform,136,114,0,0,1
education,online_learning,137,114,0,0,1
finance,digital_banking,139,114,0,0,1
food_beverage,snacks,132,114,0,0,1
gaming_entertainment,gaming,141,114,0,0,1
health_wellness,healthcare,130,114,0,0,1
home_appliance,kitchen_appliance,132,114,0,0,1
home_improvement,home_decor,130,114,0,0,1
local_services,food_delivery,134,114,0,0,1
mobility,automotive,131,114,0,0,1
pet,pet_supplies,141,114,0,0,1
saas,productivity,139,114,0,0,1
sports_outdoor,fitness,133,114,0,0,1
travel_hospitality,hotel_booking,138,114,0,0,1
