vertical_l1,vertical_l2,ad_eligible_brands,target_brands,brands_to_fill,non_brand_entities,ad_eligible_ratio
consumer_electronics,pet_supplies,1,112,111,0,1
consumer_electronics,laptop,56,112,56,12,0.8235
beauty_personal_care,cosmetics,59,112,53,15,0.7973
fashion,apparel,67,112,45,9,0.8816
fashion,footwear,67,112,45,7,0.9054
beauty_personal_care,skincare,69,112,43,7,0.9079
consumer_electronics,smartphone,70,112,42,11,0.8642
art_culture,craft,141,112,0,9,0.94
b2b_services,business_service,136,112,0,14,0.9067
baby_parenting,baby_products,135,112,0,15,0.9
developer_tools,dev_platform,136,112,0,14,0.9067
education,online_learning,137,112,0,13,0.9133
finance,digital_banking,139,112,0,11,0.9267
food_beverage,snacks,132,112,0,18,0.88
gaming_entertainment,gaming,141,112,0,9,0.94
health_wellness,healthcare,130,112,0,20,0.8667
home_appliance,kitchen_appliance,132,112,0,18,0.88
home_improvement,home_decor,130,112,0,20,0.8667
local_services,food_delivery,134,112,0,16,0.8933
mobility,automotive,131,112,0,19,0.8733
pet,pet_supplies,141,112,0,9,0.94
saas,productivity,139,112,0,11,0.9267
sports_outdoor,fitness,133,112,0,17,0.8867
travel_hospitality,hotel_booking,138,112,0,12,0.92
